xavg,yavg,zavg,xstddev,ystddev,zstddev,xabsdev,yabsdev,zabsdev,res,xzcr,yzcr,zzcr,minx,miny,minz,maxx,maxy,maxz,class,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9
0.807296258,0.58630921,0.481701438,0.128059951,0.092967888,0.036482249,0.181653326,0.098185783,0.034244689,0.175172025,0,0,0.0078125,0.991117743,0.760324914,0.879295719,0.334586307,0.324398261,0.243525091,0,0,0,0,0,0,0,0,0.34375,0.390625,0.265625,0,0,0.015625,0.59375,0.390625,0,0,0,0,0,0,0,0,0,0.0078125,0.9296875,0.0625,0,0,0
0.802019097,0.577501128,0.479510994,0.138511319,0.125175875,0.043353722,0.179320415,0.130823094,0.043598083,0.181371873,0,0.0078125,0,0.972621109,0.744513998,0.89772997,0.347719911,0.33055873,0.25851671,0,0,0,0,0,0,0,0,0.328125,0.4296875,0.2421875,0,0,0.078125,0.54296875,0.375,0.00390625,0,0,0,0,0,0,0,0,0,0.94921875,0.05078125,0,0,0
0.791428551,0.562014854,0.492130128,0.143949691,0.113218628,0.032906822,0.202028868,0.123807605,0.036665777,0.182672786,0,0,0,0.966636989,0.751781885,0.894802905,0.323642632,0.316088252,0.236064189,0,0,0,0,0,0,0,0,0.37890625,0.3984375,0.22265625,0,0,0.1015625,0.51953125,0.37890625,0,0,0,0,0,0,0,0,0,0,0.91015625,0.08984375,0,0,0
0.799858424,0.557465989,0.47878296,0.144980016,0.124527389,0.051688144,0.193376919,0.129196081,0.042957774,0.198392731,0,0,0.0078125,0.965621453,0.732872932,0.873222548,0.327843931,0.323311816,0.245696328,0,0,0,0,0,0,0,0,0.35546875,0.39453125,0.25,0,0,0.1484375,0.48046875,0.37109375,0,0,0,0,0,0,0,0,0,0.01171875,0.921875,0.06640625,0,0,0
0.835251952,0.57779118,0.47212833,0.131427148,0.136321648,0.040056655,0.18355721,0.143969367,0.04222586,0.229910423,0,0.03125,0,1,0.750552486,0.885796405,0.356786349,0.337319621,0.223413894,0,0,0,0,0,0,0,0,0.2421875,0.44921875,0.30859375,0,0,0.08203125,0.515625,0.375,0.02734375,0,0,0,0,0,0,0,0,0,0.96875,0.03125,0,0,0
0.810298758,0.570271886,0.492314119,0.147488569,0.137374987,0.049713439,0.201553029,0.143115592,0.050682378,0.207224377,0,0,0,0.987585983,0.733149181,0.892183863,0.332978874,0.324948034,0.259042537,0,0,0,0,0,0,0,0,0.34765625,0.38671875,0.265625,0,0,0.12109375,0.49609375,0.3828125,0,0,0,0,0,0,0,0,0,0,0.87890625,0.12109375,0,0,0
0.797115381,0.567135863,0.502762354,0.149786774,0.131595306,0.050406244,0.201115423,0.137770876,0.056267172,0.193876937,0,0,0,0.952294119,0.750891156,0.915323515,0.326981029,0.32646395,0.247819853,0,0,0,0,0,0,0,0,0.36328125,0.41015625,0.2265625,0,0,0.15234375,0.47265625,0.375,0,0,0,0,0,0,0,0,0,0,0.8125,0.1875,0,0,0
0.789232668,0.549916865,0.507557488,0.143863511,0.115254664,0.047832678,0.197543601,0.117518739,0.046149269,0.197281818,0,0,0,0.963634795,0.749441527,0.899033525,0.312883544,0.305860291,0.264579785,0,0,0,0,0,0,0,0,0.37890625,0.375,0.24609375,0,0,0.171875,0.49609375,0.33203125,0,0,0,0,0,0,0,0,0,0,0.84765625,0.15234375,0,0,0
0.786768284,0.5418964,0.483487457,0.164316184,0.129579178,0.059111634,0.212191811,0.129516786,0.055758448,0.197774478,0,0,0.0078125,0.95140137,0.723095438,0.881314701,0.36145447,0.324240586,0.242839937,0,0,0,0,0,0,0,0,0.3828125,0.3828125,0.234375,0,0,0.203125,0.4609375,0.3359375,0,0,0,0,0,0,0,0,0,0.00390625,0.890625,0.10546875,0,0,0
0.796503318,0.538591184,0.45695516,0.148458164,0.122053941,0.024946351,0.200950001,0.120332225,0.020569954,0.206338752,0,0,0.015625,0.987496503,0.723237056,0.87668473,0.340447877,0.294225174,0.224662153,0,0,0,0,0,0,0,0,0.3828125,0.37890625,0.23828125,0,0,0.20703125,0.47265625,0.3203125,0,0,0,0,0,0,0,0,0,0.0078125,0.98046875,0.01171875,0,0,0
